TOTALS: 252 of 252,Registered voters,Ballots Cast,Turnout,Joseph R. Biden w/ Kamala D. Harris,Donald J. Trump w/ Michael R. Pence,Jo Jorgensen w/ Jeremy Cohen,Don Blankenship w/ William Mohr,Howie Hawkins w/ Angela Walker,Rocky De La Fuente w/ Darcy Richardson,Total write-in
Wyoming City Ward 2 Precinct 12,"1,415",775,54.77%,480,275,11,1,3,0,2
Wyoming City Ward 2 Precinct 13,"1,768","1,123",63.52%,575,509,21,5,5,0,3
Wyoming City Ward 2 Precinct 14,"1,252",887,70.85%,421,427,26,1,4,0,5
Wyoming City Ward 2 Precinct 15,"1,022",687,67.22%,350,317,11,0,4,0,3
Wyoming City Ward 2 Precinct 16,"1,420",961,67.68%,467,459,18,1,3,1,5
Wyoming City Ward 2 Precinct 17,"2,161","1,113",51.5%,727,353,17,1,5,2,3
Wyoming City Ward 2 Precinct 18,"1,286",863,67.11%,457,387,10,2,1,0,1
Wyoming City Ward 2 Precinct 19,"2,032","1,379",67.86%,753,582,31,2,6,0,2
Wyoming City Ward 2 Precinct 20,"2,106","1,343",63.77%,732,576,18,7,1,2,3
Wyoming City Ward 3 Precinct 21,"2,469","1,712",69.34%,823,843,27,2,7,1,3
Wyoming City Ward 3 Precinct 22,"1,417",955,67.4%,504,432,11,0,3,1,4
Wyoming City Ward 3 Precinct 23,"2,515","1,478",58.77%,866,566,23,4,5,0,7
Wyoming City Ward 3 Precinct 24,"2,472","1,600",64.72%,773,779,33,0,2,1,6
Wyoming City Ward 3 Precinct 25,"1,783","1,451",81.38%,597,813,24,3,2,0,4
Wyoming City Ward 3 Precinct 26,"1,349",971,71.98%,526,419,18,0,2,0,0
Wyoming City Ward 3 Precinct 27,"1,310",967,73.82%,461,476,15,0,3,0,4
Wyoming City Ward 3 Precinct 28,"2,183","1,784",81.72%,761,981,28,1,2,0,4
Wyoming City Ward 3 Precinct 29,"1,839","1,538",83.63%,677,821,27,3,1,0,1
Wyoming City Ward 3 Precinct 30,"2,198","1,824",82.98%,698,"1,088",21,2,3,0,6
