TOTALS: 115 of 115,Registered voters,Ballots Cast,Turnout,Joseph R. Biden,Donald J. Trump,Jo Jorgensen,Don Blankenship,Howie Hawkins,Rocky De La Fuente,Total write-in
City of Lansing Ward 1 Precinct 2,"2,461","1,208",49.09%,0,0,0,0,0,0,0
City of Lansing Ward 1 Precinct 3,"1,477","1,241",84.02%,0,0,0,0,0,0,0
City of Lansing Ward 1 Precinct 4,"1,828","1,204",65.86%,0,0,0,0,0,0,0
City of Lansing Ward 1 Precinct 5,"1,832","1,128",61.57%,0,0,0,0,0,0,0
City of Lansing Ward 1 Precinct 6,"2,336","1,124",48.12%,0,0,0,0,0,0,0
City of Lansing Ward 1 Precinct 7,"2,170","1,214",55.94%,0,0,0,0,0,0,0
City of Lansing Ward 1 Precinct 8,"2,150","1,175",54.65%,0,0,0,0,0,0,0
City of Lansing Ward 1 Precinct 9,"2,228","1,132",50.81%,0,0,0,0,0,0,0
City of Lansing Ward 1 Precinct 10,840,562,66.9%,0,0,0,0,0,0,0
City of Lansing Ward 1 Precinct 45,"1,658","1,178",71.05%,0,0,0,0,0,0,0
City of Lansing Ward 2 Precinct 11,"2,177","1,279",58.75%,0,0,0,0,0,0,0
City of Lansing Ward 2 Precinct 12,"2,166","1,504",69.44%,0,0,0,0,0,0,0
City of Lansing Ward 2 Precinct 13,"2,107","1,263",59.94%,0,0,0,0,0,0,0
City of Lansing Ward 2 Precinct 14,"2,013","1,407",69.9%,0,0,0,0,0,0,0
City of Lansing Ward 2 Precinct 15,"1,460","1,074",73.56%,0,0,0,0,0,0,0
City of Lansing Ward 2 Precinct 16,"2,651","1,496",56.43%,0,0,0,0,0,0,0
City of Lansing Ward 2 Precinct 17,"1,638","1,122",68.5%,0,0,0,0,0,0,0
City of Lansing Ward 2 Precinct 18,"1,383",665,48.08%,0,0,0,0,0,0,0
City of Lansing Ward 2 Precinct 19,"2,535","1,497",59.05%,0,0,0,0,0,0,0
City of Lansing Ward 2 Precinct 20,"2,287","1,273",55.66%,0,0,0,0,0,0,0
City of Lansing Ward 2 Precinct 21,"2,107","1,460",69.29%,0,0,0,0,0,0,0
City of Lansing Ward 3 Precinct 24,"1,933","1,235",63.89%,0,0,0,0,0,0,0
City of Lansing Ward 3 Precinct 25,"2,165","1,238",57.18%,0,0,0,0,0,0,0
