Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Nerlens Noel,2013,1,6,2015,2023,467.0,10281.0,1375.0,2518.0,3.0,15.0,585.0,893.0,898.0,2835.0,501.0,588.0,683.0,593.0,1192.0,3338.0,.546,.200,.655,22.0,7.1,6.1,1.1
Brandon Knight,2011,1,8,2012,2022,451.0,13202.0,2260.0,5499.0,715.0,2029.0,1066.0,1321.0,236.0,1385.0,1777.0,386.0,75.0,1090.0,889.0,6301.0,.411,.352,.807,29.3,14.0,3.1,3.9
Scott Padgett,1999,1,28,2000,2007,448.0,5613.0,679.0,1658.0,240.0,644.0,276.0,375.0,402.0,1227.0,325.0,182.0,86.0,253.0,681.0,1874.0,.410,.373,.736,12.5,4.2,2.7,0.7
Kenny Walker,1986,1,5,1987,1995,448.0,9050.0,1240.0,2556.0,7.0,34.0,641.0,856.0,742.0,1793.0,299.0,235.0,299.0,351.0,1184.0,3128.0,.485,.206,.749,20.2,7.0,4.0,0.7
Michael Kidd-Gilchrist,2012,1,2,2013,2020,446.0,10978.0,1462.0,3085.0,28.0,103.0,798.0,1116.0,703.0,2420.0,515.0,296.0,304.0,400.0,956.0,3750.0,.474,.272,.715,24.6,8.4,5.4,1.2
Ron Mercer,1997,1,6,1998,2005,432.0,13418.0,2490.0,5803.0,60.0,240.0,852.0,1054.0,383.0,1342.0,921.0,456.0,113.0,683.0,881.0,5892.0,.429,.250,.808,31.1,13.6,3.1,2.1
Willie Cauley-Stein,2015,1,6,2016,2022,422.0,9276.0,1552.0,2853.0,6.0,32.0,565.0,923.0,694.0,2470.0,598.0,350.0,335.0,384.0,974.0,3675.0,.544,.188,.612,22.0,8.7,5.9,1.4
Bam Adebayo,2017,1,14,2018,2023,418.0,12264.0,2358.0,4259.0,8.0,62.0,1422.0,1883.0,922.0,3538.0,1429.0,428.0,370.0,895.0,1047.0,6146.0,.554,.129,.755,29.3,14.7,8.5,3.4
Jamal Murray,2016,1,7,2017,2023,410.0,12517.0,2546.0,5692.0,845.0,2266.0,1000.0,1150.0,318.0,1515.0,1722.0,394.0,125.0,823.0,750.0,6937.0,.447,.373,.870,30.5,16.9,3.7,4.2
De'Aaron Fox,2017,1,5,2018,2023,395.0,12760.0,2951.0,6247.0,483.0,1506.0,1589.0,2159.0,209.0,1444.0,2452.0,515.0,165.0,1081.0,1026.0,7974.0,.472,.321,.736,32.3,20.2,3.7,6.2
Malik Monk,2017,1,11,2018,2023,386.0,8017.0,1513.0,3520.0,651.0,1829.0,540.0,636.0,134.0,920.0,925.0,211.0,97.0,535.0,550.0,4217.0,.430,.356,.849,20.8,10.9,2.4,2.4
Melvin Turpin,1984,1,6,1985,1990,361.0,6871.0,1297.0,2513.0,1.0,9.0,476.0,613.0,575.0,1655.0,183.0,155.0,348.0,431.0,853.0,3071.0,.516,.111,.777,19.0,8.5,4.6,0.5
Shai Gilgeous-Alexander,2018,1,11,2019,2023,311.0,10140.0,2287.0,4729.0,356.0,1025.0,1626.0,1925.0,219.0,1417.0,1411.0,385.0,226.0,727.0,696.0,6556.0,.484,.347,.845,32.6,21.1,4.6,4.5
Kevin Knox,2018,1,9,2019,2023,275.0,4962.0,721.0,1875.0,305.0,892.0,306.0,429.0,147.0,801.0,205.0,106.0,72.0,233.0,432.0,2053.0,.385,.342,.713,18.0,7.5,2.9,0.7
Darius Miller,2012,2,46,2013,2021,271.0,5358.0,545.0,1300.0,344.0,898.0,163.0,194.0,51.0,447.0,367.0,123.0,66.0,171.0,523.0,1597.0,.419,.383,.840,19.8,5.9,1.6,1.4
Hamidou Diallo,2018,2,45,2019,2023,263.0,4913.0,907.0,1832.0,76.0,277.0,380.0,610.0,267.0,1007.0,282.0,223.0,76.0,279.0,579.0,2270.0,.495,.274,.623,18.7,8.6,3.8,1.1
P.J. Washington,2019,1,12,2020,2023,260.0,7861.0,1254.0,2785.0,457.0,1249.0,381.0,536.0,306.0,1429.0,606.0,243.0,263.0,413.0,674.0,3346.0,.450,.366,.711,30.2,12.9,5.5,2.3
Jarred Vanderbilt,2018,2,41,2019,2023,244.0,5013.0,616.0,1075.0,32.0,111.0,247.0,384.0,513.0,1606.0,359.0,255.0,115.0,238.0,508.0,1511.0,.573,.288,.643,20.5,6.2,6.6,1.5
Tyler Herro,2019,1,13,2020,2023,242.0,7631.0,1565.0,3561.0,601.0,1571.0,541.0,618.0,100.0,1181.0,848.0,164.0,50.0,520.0,343.0,4272.0,.439,.383,.875,31.5,17.7,4.9,3.5
Terrence Jones,2012,1,18,2013,2019,234.0,5562.0,985.0,1968.0,93.0,313.0,368.0,593.0,395.0,1334.0,238.0,146.0,270.0,219.0,392.0,2431.0,.501,.297,.621,23.8,10.4,5.7,1.0
Vern Hatton,1958,2,10,1959,1962,225.0,3666.0,485.0,1409.0,,,274.0,373.0,,531.0,310.0,,,,294.0,1244.0,.344,,.735,16.3,5.5,2.4,1.4
Keldon Johnson,2019,1,29,2020,2023,224.0,6724.0,1365.0,2918.0,366.0,1009.0,602.0,801.0,239.0,1244.0,477.0,158.0,51.0,317.0,443.0,3698.0,.468,.363,.752,30.0,16.5,5.6,2.1
Tommy Kron,1966,3,24,1967,1970,224.0,3632.0,505.0,1305.0,7.0,19.0,334.0,435.0,24.0,672.0,605.0,,,59.0,525.0,1351.0,.387,,.768,16.2,6.0,3.0,2.7
