district,candidate,party,total_votes,won
Alabama’s 3rd district,Adia Winfrey,DEM,76983,False
Alabama’s 4th district,Robert Aderholt,REP,246668,True
Alabama’s 4th district,Rick Neighbors,DEM,50730,False
Alabama’s 5th district,Mo Brooks,REP,122516,True
Alabama’s 6th district,Gary Palmer,REP,273205,True
Alabama’s 6th district, Write-ins,WRI,8062,False
Alabama’s 7th district,Terri Sewell,DEM,208711,True
Alaska at large,Don Young,REP,150443,True
Alaska at large,Alyse Galvin,DEM,108269,False
Arizona’s 1st district,Tom O'Halleran,DEM,187223,True
Arizona’s 1st district,Tiffany Shedd,REP,175039,False
Arizona’s 2nd district,Ann Kirkpatrick,DEM,206948,True
Arizona’s 2nd district,Brandon Martin,REP,166214,False
Arizona’s 3rd district,Raul Grijalva,DEM,171797,True
Arizona’s 3rd district,Daniel Wood,REP,94265,False
Arizona’s 4th district,Paul Gosar,REP,274254,True
Arizona’s 4th district,Delina DiSanto,DEM,119282,False
Arizona’s 4th district, Write-ins,WRI,42,False
Arizona’s 5th district,Andy Biggs,REP,261868,True
Arizona’s 5th district,Joan Greene,DEM,182812,False
Arizona’s 6th district,David Schweikert,REP,217390,True
Arizona’s 6th district,Hiral Tipirneni,DEM,199228,False
Arizona’s 7th district,Ruben Gallego,DEM,165021,True
Arizona’s 7th district,Joshua Barnett,REP,50106,False
Arizona’s 8th district,Debbie Lesko,REP,251209,True
Arizona’s 8th district,Michael Muscato,DEM,170484,False
Arizona’s 9th district,Greg Stanton,DEM,216545,True
Arizona’s 9th district,Dave Giles,REP,134870,False
Arkansas’s 1st district,Rick Crawford,REP,236828,True
Arkansas’s 2nd district,French Hill,REP,182248,True
Arkansas’s 2nd district,Joyce Elliott,DEM,145255,False
Arkansas’s 3rd district,Steve Womack,REP,213944,True
Arkansas’s 3rd district,Celeste Williams,DEM,105329,False
Arkansas’s 3rd district,Mike Kalagias,LIB,12894,False
Arkansas’s 4th district,Bruce Westerman,REP,194704,True
Arkansas’s 4th district,William Hanson,DEM,76117,False
Arkansas’s 4th district,Frank Gilbert,LIB,7794,False
California’s 10th district,Josh Harder,DEM,144702,True
California’s 10th district,Ted Howze,REP,113383,False
California’s 11th district,Mark DeSaulnier,DEM,266074,True
California’s 11th district,Nisha Sharma,REP,97913,False
California’s 12th district,Nancy Pelosi,DEM,280133,True
California’s 12th district,Shahid Buttar,DEM,80495,False
California’s 13th district,Barbara Lee,DEM,318973,True
California’s 13th district,Nikka Piterman,REP,33642,False
California’s 14th district,Jackie Speier,DEM,268594,True
California’s 14th district,Ran Petel,REP,70009,False
California’s 15th district,Eric Swalwell,DEM,238322,True
California’s 15th district,Alison Hayden,REP,96920,False
California’s 16th district,Jim Costa,DEM,121592,True
California’s 16th district,Kevin Cookingham,REP,82596,False
California’s 17th district,Ro Khanna,DEM,203934,True
California’s 17th district,Ritesh Tandon,REP,81851,False
California’s 18th district,Anna Eshoo,DEM,208750,True
California’s 18th district,Rishi Kumar,DEM,121397,False
California’s 19th district,Zoe Lofgren,DEM,212908,True
California’s 19th district,Justin Aguilera,REP,83786,False
California’s 1st district,Doug LaMalfa,REP,190731,True
California’s 1st district,Audrey Denney,DEM,145100,False
California’s 20th district,Jimmy Panetta,DEM,228556,True
California’s 20th district,Jeff Gorman,REP,68314,False
California’s 22nd district,Devin Nunes,REP,167316,True
California’s 22nd district,Phil Arballo,DEM,141220,False
California’s 23rd district,Kevin McCarthy,REP,124925,True
California’s 23rd district,Kim Mangone,DEM,85158,False
California’s 24th district,Salud Carbajal,DEM,206265,True
California’s 24th district,Andy Caldwell,REP,144402,False
California’s 26th district,Julia Brownley,DEM,206510,True
California’s 26th district,Ronda Baldwin-Kennedy,REP,134000,False
California’s 27th district,Judy Chu,DEM,213714,True
California’s 27th district,Johnny Nalbandian,REP,97048,False
California’s 28th district,Adam Schiff,DEM,238759,True
California’s 28th district,Eric Early,REP,88923,False
California’s 29th district,Tony Cardenas,DEM,116314,True
California’s 29th district,Angelica Duenas,DEM,88641,False
California’s 2nd district,Jared Huffman,DEM,246818,True
California’s 2nd district,Dale Mensing,REP,70296,False
California’s 30th district,Brad Sherman,DEM,235232,True
California’s 30th district,Mark Reed,REP,102228,False
California’s 31st district,Pete Aguilar,DEM,144558,True
California’s 31st district,Agnes Gibboney,REP,89934,False
California’s 32nd district,Grace Napolitano,DEM,168373,True
California’s 32nd district,Joshua Scott,REP,84574,False
California’s 33rd district,Ted Lieu,DEM,251944,True
California’s 33rd district,James Bradley,REP,120136,False
California’s 35th district,Norma Torres,DEM,134349,True
California’s 35th district,Mike Cargile,REP,59948,False
California’s 36th district,Raul Ruiz,DEM,132290,True
California’s 36th district,Erin Cruz,REP,85366,False
California’s 37th district,Karen Bass,DEM,248958,True
California’s 37th district,Errol Webber,REP,40146,False
California’s 38th district,Linda Sanchez,DEM,185609,True
California’s 38th district,Michael Tolar,DEM,64034,False
California’s 3rd district,John Garamendi,DEM,151259,True
California’s 3rd district,Tamika Hamilton,REP,121518,False
California’s 40th district,Lucille Roybal-Allard,DEM,131665,True
California’s 40th district,C. Antonio Delgado,REP,48839,False
California’s 41st district,Mark Takano,DEM,120995,True
California’s 41st district,Aja Smith,REP,68207,False
California’s 43rd district,Maxine Waters,DEM,194194,True
California’s 43rd district,Joe Collins,REP,76507,False
California’s 44th district,Nanette Barragan,DEM,136209,True
California’s 44th district,Analilia Joya,DEM,63877,False
California’s 45th district,Katie Porter,DEM,217129,True
California’s 45th district,Greg Raths,REP,188848,False
California’s 46th district,Lou Correa,DEM,152858,True
California’s 46th district,James Waters,REP,69363,False
California’s 47th district,Alan Lowenthal,DEM,192354,True
California’s 47th district,John Briscoe,REP,111037,False
California’s 49th district,Mike Levin,DEM,202676,True
California’s 49th district,Brian Maryott,REP,178273,False
California’s 4th district,Tom McClintock,REP,235029,True
California’s 4th district,Brynne Kennedy,DEM,186227,False
California’s 51st district,Juan Vargas,DEM,155457,True
California’s 51st district,Juan Hidalgo,REP,70166,False
California’s 52nd district,Scott Peters,DEM,242002,True
California’s 52nd district,Jim DeBello,REP,150910,False
California’s 53rd district,Sara Jacobs,DEM,197351,True
California’s 53rd district,Georgette Gomez,DEM,134205,False
California’s 5th district,Mike Thompson,DEM,232538,True
California’s 5th district,Scott Giblin,REP,67209,False
California’s 6th district,Doris Matsui,DEM,171680,True
California’s 6th district,Christine Bish,REP,58260,False
California’s 7th district,Ami Bera,DEM,171308,True
California’s 7th district,Buzz Patterson,REP,121431,False
California’s 9th district,Jerry McNerney,DEM,138758,True
California’s 9th district,Tony Amador,REP,95914,False
Colorado’s 1st district,Diana DeGette,DEM,331282,True
Colorado’s 1st district,Shane Bolling,REP,105804,False
Colorado’s 1st district,Kyle Furey,LIB,8727,False
Colorado’s 1st district,Paul Fiorino,UTY,2515,False
Colorado’s 1st district,Jan Kok,APV,1437,False
Colorado’s 2nd district,Joe Neguse,DEM,309348,True
Colorado’s 2nd district,Charlie Winn,REP,179548,False
Colorado’s 2nd district,Thom Atkinson,LIB,13255,False
Colorado’s 2nd district,Gary Swing,BFP,2472,False
Colorado’s 3rd district,Lauren Boebert,REP,215328,True
Colorado’s 3rd district,Diane Mitsch Bush,DEM,190775,False
Colorado’s 3rd district,John Keil,LIB,9850,False
Colorado’s 3rd district,Christopher Milton,UTY,4110,False
Colorado’s 4th district,Ken Buck,REP,282265,True
Colorado’s 4th district,Ike McCorkle,DEM,171385,False
Colorado’s 4th district,Bruce Griffith,LIB,10755,False
Colorado’s 4th district,Laura Ireland,UTY,4404,False
Colorado’s 5th district,Doug Lamborn,REP,246828,True
Colorado’s 5th district,Jillian Freeland,DEM,159930,False
Colorado’s 5th district,Ed Duffett,LIB,14539,False
Colorado’s 5th district,Marcus Murphy,UNA,3655,False
Colorado’s 5th district,Rebecca Keltie,UTY,3261,False
Colorado’s 6th district,Jason Crow,DEM,248549,True
Colorado’s 6th district,Steve House,REP,174088,False
Colorado’s 6th district,Norm Olsen,LIB,8959,False
Colorado’s 6th district,Jaimie Kulikowski,UTY,3836,False
Colorado’s 7th district,Ed Perlmutter,DEM,249908,True
Colorado’s 7th district,Casper Stockham,REP,158894,False
Colorado’s 7th district,Ken Biles,LIB,11444,False
Colorado’s 7th district,David Olszta,UTY,2346,False
Connecticut’s 1st district,John Larson,DEM,224442,True
Connecticut’s 1st district,Mary Fay,REP,122088,False
Connecticut’s 1st district,Tom McCormick,GRN,4506,False
Connecticut’s 2nd district,Joe Courtney,DEM,217982,True
Connecticut’s 2nd district,Justin Anderson,REP,140409,False
Connecticut’s 2nd district,Cassandra Martineau,GRN,4952,False
Connecticut’s 2nd district,Daniel Reale,LIB,3902,False
Connecticut’s 3rd district,Rosa DeLauro,DEM,237595,True
Connecticut’s 3rd district,Margaret Streicker,REP,143644,False
Connecticut’s 3rd district,Justin Paglino,GRN,6032,False
Connecticut’s 4th district,Jim Himes,DEM,225594,True
Connecticut’s 4th district,Jonathan Riddle,REP,130630,False
Connecticut’s 4th district,Brian Merlen,IP,5646,False
Connecticut’s 4th district, Write-ins,WRI,11,False
Connecticut’s 5th district,Jahana Hayes,DEM,192543,True
Connecticut’s 5th district,David Sullivan,REP,152003,False
Connecticut’s 5th district,Bruce Walczak,IP,5052,False
United States’s 0th district,The Democratic candidate,DEM,73126779,True
United States’s 0th district,The Republican candidate,REP,70318619,False
United States’s 0th district, Others,OTH,2648797,False
California’s 21st district,David Valadao,REP,72350,True
California’s 21st district,TJ Cox,DEM,68324,False
California’s 25th district,Mike Garcia,REP,165178,True
California’s 25th district,Christy Smith,DEM,165019,False
California’s 34th district,Jimmy Gomez,DEM,105758,True
California’s 34th district,David Kim,DEM,93501,False
California’s 39th district,Young Kim,REP,167564,True
California’s 39th district,Gil Cisneros,DEM,163396,False
California’s 42nd district,Ken Calvert,REP,153765,True
California’s 42nd district,Liam O'Mara,DEM,118487,False
California’s 48th district,Michelle Steel,REP,199133,True
California’s 48th district,Harley Rouda,DEM,191341,False
California’s 50th district,Darrell Issa,REP,188747,True
California’s 50th district,Ammar Campa-Najjar,DEM,160785,False
California’s 8th district,Jay Obernolte,REP,130510,True
California’s 8th district,Christine Bubser,DEM,103408,False
