district,candidate,party,total_votes,won
Hawaii’s 1st district,Ron Curtis,REP,71094,False
Hawaii’s 2nd district,Kai Kahele,DEM,171398,True
Hawaii’s 2nd district,Joe Akana,REP,83928,False
Hawaii’s 2nd district,Michelle Tippens,LIB,6769,False
Hawaii’s 2nd district,Jonathan Hoomanawanui,ALO,6444,False
Hawaii’s 2nd district,Ron Burrus,NPT,2650,False
Hawaii’s 2nd district,John Giuffre,SHP,661,False
Idaho’s 1st district,Russ Fulcher,REP,299783,True
Idaho’s 1st district,Rudy Soto,DEM,126873,False
Idaho’s 1st district,Joe Evans,LIB,15900,False
Idaho’s 2nd district,Mike Simpson,REP,232563,True
Idaho’s 2nd district,Aaron Swisher,DEM,118955,False
Idaho’s 2nd district, Pro-Life,CST,7789,False
Idaho’s 2nd district,Idaho Law,LIB,7358,False
Illinois’s 1st district,Bobby Rush,DEM,225539,True
Illinois’s 1st district,Philanise White,REP,80238,False
Illinois’s 2nd district,Robin Kelly,DEM,217898,True
Illinois’s 2nd district,Theresa Raborn,REP,61002,False
Illinois’s 3rd district,Marie Newman,DEM,154452,True
Illinois’s 3rd district,Mike Fricilone,REP,124787,False
Illinois’s 4th district,"Jesus ""Chuy"" Garcia",DEM,177900,True
Illinois’s 4th district,Jesus Solorio,REP,33853,False
Illinois’s 5th district,Mike Quigley,DEM,245053,True
Illinois’s 5th district,Tom Hanson,REP,92774,False
Illinois’s 5th district,Thomas Wilda,GRN,8887,False
Illinois’s 6th district,Sean Casten,DEM,203393,True
Illinois’s 6th district,Jeanne Ives,REP,177623,False
Illinois’s 6th district,Bill Redpath,LIB,6722,False
Illinois’s 7th district,Danny Davis,DEM,230740,True
Illinois’s 7th district,Craig Cameron,REP,38893,False
Illinois’s 7th district,Tracy Jennings,IND,17782,False
Illinois’s 8th district,Raja Krishnamoorthi,DEM,169958,True
Illinois’s 8th district,Preston Nelson,LIB,64592,False
Illinois’s 9th district,Jan Schakowsky,DEM,229792,True
Illinois’s 9th district,Sargis Sangari,REP,96568,False
Illinois’s 10th district,Brad Schneider,DEM,187181,True
Illinois’s 10th district,Valerie Mukherjee,REP,108231,False
Illinois’s 10th district, Write-ins,WRI,0,False
Illinois’s 11th district,Bill Foster,DEM,186350,True
Illinois’s 11th district,Rick Laib,REP,109140,False
Illinois’s 12th district,Mike Bost,REP,194451,True
Illinois’s 12th district,Raymond Lenzi,DEM,126746,False
Illinois’s 13th district,Rodney Davis,REP,179828,True
Illinois’s 13th district,Betsy Londrigan,DEM,149130,False
Illinois’s 14th district,Lauren Underwood,DEM,198017,True
Illinois’s 14th district,Jim Oberweis,REP,194588,False
Illinois’s 15th district,Mary Miller,REP,230828,True
Illinois’s 15th district,Erika Weaver,DEM,91270,False
Illinois’s 16th district,Adam Kinzinger,REP,214257,True
Illinois’s 16th district,Dani Brzozowski,DEM,115067,False
